Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_016925515.1	Methylomonas sp. EFPC1	2812647	EFPC1	Complete Genome	haploid	2
GCF_029643245.1	Methylomonas sp. EFPC3	3021710	EFPC3	Complete Genome	haploid	1
GCF_015711015.1	Methylomonas sp. LL1	2785785	LL1	Complete Genome	haploid	2
GCF_016865255.1	Methylomonas sp. LW13	107637	LW13	Complete Genome	haploid	1
GCF_029910655.1	Methylomonas sp. UP202	3040943	UP202	Complete Genome	haploid	2
GCF_003966895.1	Methylomusa anaerophila	1930071	MMFC1	Complete Genome	haploid	1
GCF_000260965.1	Methylophaga frappieri	754477	JAM7	Complete Genome	haploid	2
GCF_030296755.1	Methylophaga marina	45495	NBRC 102421	Complete Genome	haploid	1
GCF_000260985.4	Methylophaga nitratireducenticrescens	754476	JAM1	Complete Genome	haploid	1
GCF_020447175.2	Methylophaga pinxianii	2881052	TMB1265	Complete Genome	haploid	2
GCF_036324325.1	Methylophaga thalassica	40223	IOM01	Complete Genome	haploid	2
GCF_037076555.1	Methylophilus sp. DW102	3095607	DW102	Complete Genome	haploid	1
GCF_001183865.1	Methylophilus sp. TWE2	1662285	TWE2	Complete Genome	haploid	1
GCF_019703875.1	Methyloradius palustris	2778876	Zm11	Complete Genome	haploid	1
GCF_001971665.1	Methylorubrum extorquens	408	PSBB040	Complete Genome	haploid	1
GCF_026122595.1	Methylorubrum extorquens	408	NBC_00404	Complete Genome	haploid	1
GCF_026122615.1	Methylorubrum extorquens	408	NBC_00036	Complete Genome	haploid	1
GCF_030062705.1	Methylorubrum extorquens	408	ATCC 55366	Complete Genome	haploid	2
GCF_030255395.1	Methylorubrum extorquens	408	PA1	Complete Genome	haploid	1
GCF_000022685.1	Methylorubrum extorquens AM1	272630	AM1	Complete Genome	haploid	5
GCF_000021845.1	Methylorubrum extorquens CM4	440085	CM4	Complete Genome	haploid	3
GCF_000083545.1	Methylorubrum extorquens DM4	661410	DM4	Complete Genome	haploid	3
GCF_000018845.1	Methylorubrum extorquens PA1	419610	PA1	Complete Genome	haploid	1
GCF_002355515.1	Methylorubrum populi	223967	P-1M	Complete Genome	haploid	6
GCF_006740745.1	Methylorubrum populi	223967	YC-XJ1	Complete Genome	haploid	1
GCF_000019945.1	Methylorubrum populi BJ001	441620	BJ001	Complete Genome	haploid	3
GCF_021117295.1	Methylorubrum sp. B1-46	2897334	B1-46	Complete Genome	haploid	4
GCF_024347855.1	Methylorubrum sp. GM97	2938232	GM97	Complete Genome	haploid	1
GCF_009936375.1	Methylosinus sp. C49	2699395	C49	Complete Genome	haploid	5
GCF_002752655.1	Methylosinus trichosporium OB3b	595536	OB3b	Complete Genome	haploid	4
GCF_030062355.1	Methylosinus trichosporium OB3b	595536	OB3b	Complete Genome	haploid	4
GCF_000023705.1	Methylotenera mobilis JLW8	583345	JLW8	Complete Genome	haploid	1
GCF_000093025.1	Methylotenera versatilis 301	666681	301	Complete Genome	haploid	1
GCF_000968535.2	Methylotuvimicrobium alcaliphilum 20Z	1091494	20Z	Complete Genome	haploid	2
GCF_005931095.1	Methylotuvimicrobium buryatense	95641	5GB1C	Complete Genome	haploid	1
GCF_038051925.1	Methylotuvimicrobium sp. KM2	3133976	KM2	Complete Genome	haploid	1
GCF_001713355.1	Methyloversatilis sp. RAC08	1842540	RAC08	Complete Genome	haploid	1
GCF_004135935.1	Methylovirgula ligni	569860	BW863	Complete Genome	haploid	1
GCF_037890675.1	Methylovirgula sp. 4M-Z18	2293567	4M-Z18	Complete Genome	haploid	2
GCF_019343105.1	Methylovirgula sp. HY1	2822761	HY1	Complete Genome	haploid	2
GCF_000023745.1	Methylovorus glucosotrophus SIP3-4	582744	SIP3-4	Complete Genome	haploid	3
GCF_000183115.1	Methylovorus sp. MP688	887061	MP688	Complete Genome	haploid	1
GCF_002209385.1	Methylovulum psychrotolerans	1704499	HV10_M2	Complete Genome	haploid	1
GCF_000226315.1	Micavibrio aeruginosavorus ARL-13	856793	ARL-13	Complete Genome	haploid	1
GCF_000348745.1	Micavibrio aeruginosavorus EPB	349215	EPB	Complete Genome	haploid	1
GCF_015277895.1	Microbacterium abyssi	2782166	A18JL241	Complete Genome	haploid	1
GCF_011046975.1	Microbacterium amylolyticum	936337	DSM 24221	Complete Genome	haploid	2
GCF_030369635.1	Microbacterium arborescens	33883	SSF12	Complete Genome	haploid	1
GCF_015277815.1	Microbacterium atlanticum	2782168	WY121	Complete Genome	haploid	1
GCF_001974985.1	Microbacterium aurum	36805	KACC 15219	Complete Genome	haploid	1
GCF_025583665.1	Microbacterium azadirachtae	582680	CNUC13	Complete Genome	haploid	1
GCF_021398715.1	Microbacterium binotii	462710	Au-Mic3	Complete Genome	haploid	1
GCF_008727755.1	Microbacterium caowuchunii	2614638	ST-M6	Complete Genome	haploid	1
GCF_001652465.1	Microbacterium chocolatum	84292	SIT 101	Complete Genome	haploid	4
GCF_015277855.1	Microbacterium cremeum	2782169	NY27	Complete Genome	haploid	1
GCF_021582895.2	Microbacterium elymi	2909587	KUDC0405	Complete Genome	haploid	1
GCF_011047135.1	Microbacterium endophyticum	1526412	DSM 27099	Complete Genome	haploid	1
GCF_028747645.1	Microbacterium esteraromaticum	57043	DEHP-1	Complete Genome	haploid	1
GCF_003367705.1	Microbacterium foliorum	104336	NRRL B-24224	Complete Genome	haploid	1
GCF_006385575.1	Microbacterium foliorum	104336	M2	Complete Genome	haploid	1
GCF_031885415.1	Microbacterium forte	2982533	A	Complete Genome	haploid	1
GCF_014725695.1	Microbacterium hominis	162426	01094	Complete Genome	haploid	1
GCF_002843965.1	Microbacterium hominis	162426	SJTG1	Complete Genome	haploid	1
GCF_013282805.1	Microbacterium hominis	162426	PA2F3	Complete Genome	haploid	1
GCF_014725715.1	Microbacterium hominis	162426	01094	Complete Genome	haploid	1
GCF_016919305.1	Microbacterium hominis	162426	PDNC016	Complete Genome	haploid	2
GCF_029094505.1	Microbacterium horticulturae	3028316	KACC 23027	Complete Genome	haploid	1
GCF_904831005.1	Microbacterium hydrocarbonoxydans	273678	Marseille-P2596	Complete Genome	haploid	1
GCF_034421375.1	Microbacterium invictum	515415	X-18	Complete Genome	haploid	1
GCF_003991875.1	Microbacterium lemovicicum	1072463	Viu22	Complete Genome	haploid	1
GCF_036324365.1	Microbacterium limosum	3079935	Y20	Complete Genome	haploid	1
GCF_024362265.1	Microbacterium liquefaciens	33918	DND4	Complete Genome	haploid	1
GCF_029027945.1	Microbacterium liquefaciens	33918	B1075	Complete Genome	haploid	1
GCF_030518755.1	Microbacterium liquefaciens	33918	MWF001	Complete Genome	haploid	1
GCF_008727775.1	Microbacterium lushaniae	2614639	L-031	Complete Genome	haploid	1
GCF_015277875.1	Microbacterium luteum	2782167	A18JL200	Complete Genome	haploid	1
GCF_024971095.1	Microbacterium neungamense	2810535	EF45044	Complete Genome	haploid	1
GCF_001975955.2	Microbacterium oleivorans	273677	A9	Complete Genome	haploid	1
GCF_013389665.1	Microbacterium oleivorans	273677	I46	Complete Genome	haploid	1
GCF_003991855.1	Microbacterium oxydans	82380	HG3	Complete Genome	haploid	1
GCF_004000565.1	Microbacterium oxydans	82380	VIU2A	Complete Genome	haploid	1
GCF_026559675.1	Microbacterium oxydans	82380	ML-6	Complete Genome	haploid	1
GCF_001887285.1	Microbacterium paludicola	300019	CC3	Complete Genome	haploid	1
GCF_019056515.1	Microbacterium paraoxydans	199592	70447	Complete Genome	haploid	2
GCF_035231185.1	Microbacterium plantarum	1816425	CoE-159-22	Complete Genome	haploid	1
GCF_004135285.1	Microbacterium protaetiae	2509458	DFW100M-13	Complete Genome	haploid	1
GCF_030866805.1	Microbacterium protaetiae	2509458	FW7	Complete Genome	haploid	1
GCF_029639405.1	Microbacterium proteolyticum	1572644	ustc	Complete Genome	haploid	2
GCF_021172025.1	Microbacterium resistens	156977	MZT7	Complete Genome	haploid	1
GCF_034120055.1	Microbacterium rhizosphaerae	1678237	KACC 19337	Complete Genome	haploid	1
GCF_015565955.1	Microbacterium schleiferi	69362	A32-1	Complete Genome	haploid	1
GCF_004564075.1	Microbacterium sediminis	904291	YLB-01	Complete Genome	haploid	2
GCF_001889265.1	Microbacterium sp. 1.5R	1916917	1.5R	Complete Genome	haploid	1
GCF_003931875.1	Microbacterium sp. 10M-3C3	2483401	10M-3C3	Complete Genome	haploid	1
GCF_008271365.1	Microbacterium sp. 1S1	2606451	1S1	Complete Genome	haploid	1
GCF_011046485.1	Microbacterium sp. 4R-513	2567934	4R-513	Complete Genome	haploid	1
GCF_040267695.1	Microbacterium sp. A8/3-1	3160749	A8/3-1	Complete Genome	haploid	1
GCF_032878875.1	Microbacterium sp. AB	2981139	AB	Complete Genome	haploid	1
GCF_003850245.1	Microbacterium sp. ABRD28	2268461		Complete Genome	haploid	1
GCF_039614715.1	Microbacterium sp. AZCO	3142976	AZCO	Complete Genome	haploid	1
GCF_029991045.1	Microbacterium sp. BDGP8	3035531	BDGP8	Complete Genome	haploid	3
GCF_001792815.1	Microbacterium sp. BH-3-3-3	1906742	BH-3-3-3	Complete Genome	haploid	1
GCF_001266755.1	Microbacterium sp. CGR1	1696072	CGR1	Complete Genome	haploid	1
GCF_040436305.1	Microbacterium sp. che218	3140649	che218	Complete Genome	haploid	1
GCF_028743715.1	Microbacterium sp. Clip185	3025663	Clip185	Complete Genome	haploid	1
GCF_021117345.1	Microbacterium sp. cx-55	2875948		Complete Genome	haploid	1
GCF_028472845.1	Microbacterium sp. EF45047	2809708		Complete Genome	haploid	1
GCF_030347395.1	Microbacterium sp. ET2	3050384	ET2	Complete Genome	haploid	1
GCF_022637555.1	Microbacterium sp. H1-D42	2925844	H1-D42	Complete Genome	haploid	1
GCF_024498615.1	Microbacterium sp. J1-1	2992441	J1-1	Complete Genome	haploid	2
GCF_016805985.1	Microbacterium sp. JZ31	1906274	JZ31	Complete Genome	haploid	1
GCF_035188445.1	Microbacterium sp. JZ37	2654193	JZ37	Complete Genome	haploid	1
GCF_021582875.1	Microbacterium sp. KUDC0406	2909588	KUDC0406	Complete Genome	haploid	1
GCF_025836995.1	Microbacterium sp. M28	2962064	M28	Complete Genome	haploid	1
GCF_964186585.1	Microbacterium sp. MM2322	3157631		Complete Genome	haploid	1
GCF_017968845.1	Microbacterium sp. NIBRBAC000506063	2734618	NIBRBAC000506063	Complete Genome	haploid	2
GCF_001314225.1	Microbacterium sp. No. 7	1714373	No. 7	Complete Genome	haploid	3
GCF_028198145.1	Microbacterium sp. nov. GSS16	3019890	GSS16	Complete Genome	haploid	1
GCF_904066215.1	Microbacterium sp. Nx66	2766784		Complete Genome	haploid	2
GCF_001558975.1	Microbacterium sp. PAMC 28756	1795053	HSR44	Complete Genome	haploid	1
GCF_019443465.1	Microbacterium sp. PAMC21962	2861280	PAMC21962	Complete Genome	haploid	1
GCF_019443525.1	Microbacterium sp. PAMC22086	2861281	PAMC22086	Complete Genome	haploid	1
GCF_039905635.1	Microbacterium sp. ProA8	3153754	ProA8	Complete Genome	haploid	1
GCF_005347485.1	Microbacterium sp. RG1	2489212	RG1	Complete Genome	haploid	1
GCF_019464375.1	Microbacterium sp. Se5.02b	2864103	Se5.02b	Complete Genome	haploid	1
GCF_014171575.1	Microbacterium sp. Se63.02b	2709304	Se63.02b	Complete Genome	haploid	1
GCF_005491085.2	Microbacterium sp. SGAir0570	2070348	SGAir0570	Complete Genome	haploid	2
GCF_002993305.1	Microbacterium sp. str. 'China'	2103230		Complete Genome	haploid	1
GCF_039729145.1	Microbacterium sp. SY138	3149040	SY138	Complete Genome	haploid	1
GCF_002356155.1	Microbacterium sp. TPU 3598	1938334	TPU 3598	Complete Genome	haploid	2
GCF_001513675.1	Microbacterium sp. XT11	367477	XT11	Complete Genome	haploid	1
GCF_003856715.1	Microbacterium sp. Y-01	2048898	Y-01	Complete Genome	haploid	1
GCF_015040615.1	Microbacterium sp. YJN-G	2763257	YJN-G	Complete Genome	haploid	2
GCF_030246885.1	Microbacterium sp. zg-B185	3049070	zg-B185	Complete Genome	haploid	1
GCF_030246865.1	Microbacterium sp. zg-B96	3049069	zg-B96	Complete Genome	haploid	1
GCF_030246945.1	Microbacterium sp. zg-Y1090	3049073	zg-Y1090	Complete Genome	haploid	1
GCF_030246925.1	Microbacterium sp. zg-Y625	3049071	zg-Y625	Complete Genome	haploid	1
GCF_030246905.1	Microbacterium sp. zg-Y818	3049072	zg-Y818	Complete Genome	haploid	1
GCF_030296555.1	Microbacterium suwonense	683047	NBRC 106310	Complete Genome	haploid	1
GCF_025758395.1	Microbacterium terricola	344163	JCM 14903	Complete Genome	haploid	1
GCF_027943945.1	Microbacterium terricola	344163	KV-448	Complete Genome	haploid	1
GCF_029761935.1	Microbacterium testaceum	2033	HW4	Complete Genome	haploid	1
GCF_030388305.1	Microbacterium testaceum	2033	D12	Complete Genome	haploid	1
GCF_000202635.1	Microbacterium testaceum StLB037	979556	StLB037	Complete Genome	haploid	1
GCF_004564355.1	Microbacterium wangchenii	2541726	dk512	Complete Genome	haploid	1
GCF_036185645.1	Microbispora hainanensis	568844	NBC_00254	Complete Genome	haploid	1
GCF_036186745.1	Microbispora hainanensis	568844	NBC_00253	Complete Genome	haploid	1
GCF_036010665.1	Microbispora sp. NBC_01189	2903583	NBC_01189	Complete Genome	haploid	1
GCF_001999945.1	Microbulbifer agarilyticus	260552	GP101	Complete Genome	haploid	1
GCF_001750105.1	Microbulbifer aggregans	1769779	CCB-MM1	Complete Genome	haploid	1
GCF_029869925.1	Microbulbifer bruguierae	3029061	H12	Complete Genome	haploid	1
GCF_020991125.1	Microbulbifer celer	435905	KCTC 12973	Complete Genome	haploid	1
GCF_021165935.1	Microbulbifer elongatus	86173	DSM 6810	Complete Genome	haploid	1
GCF_009931115.1	Microbulbifer hydrolyticus	48074	IRE-31	Complete Genome	haploid	1
GCF_033723955.1	Microbulbifer pacificus	407164	SPO729	Complete Genome	haploid	1
GCF_003076275.1	Microbulbifer sp. A4B17	359370	A4B17	Complete Genome	haploid	1
GCF_009903625.1	Microbulbifer sp. ALW1	1516059	ALW1	Complete Genome	haploid	1
GCF_007183175.1	Microbulbifer sp. GL-2	2591606	GL-2	Complete Genome	haploid	1
GCF_030440425.1	Microbulbifer sp. MI-G	2944933	MI-G	Complete Genome	haploid	2
GCF_030996985.1	Microbulbifer sp. RZ01	3021711	RZ01	Complete Genome	haploid	1
GCF_039696035.1	Microbulbifer sp. SAOS-129_SWC	3145235	SAOS-129_SWC	Complete Genome	haploid	1
GCF_011326135.1	Microbulbifer sp. SH-1	2681547	SH-1	Complete Genome	haploid	1
GCF_030997045.1	Microbulbifer sp. TB1203	3021712	TB1203	Complete Genome	haploid	1
GCF_009363535.1	Microbulbifer sp. THAF38	2587856	THAF38	Complete Genome	haploid	3
GCF_013367775.1	Microbulbifer sp. YPW1	2745199	YPW1	Complete Genome	haploid	1
GCF_021290385.1	Microbulbifer sp. YPW16	2904242	YPW16	Complete Genome	haploid	1
GCF_001617625.1	Microbulbifer thermotolerans	252514	DAU221	Complete Genome	haploid	1
GCF_030518595.1	Microbulbifer thermotolerans	252514	HB226069	Complete Genome	haploid	1
GCF_023716485.1	Microbulbifer variabilis	266805	SCSIO 43006	Complete Genome	haploid	1
GCF_002355395.1	Microcella alkaliphila	279828	JAM-AC0309	Complete Genome	haploid	1
GCF_026625045.1	Microcella daejeonensis	2994971	MMS21-STM12	Complete Genome	haploid	1
GCF_026625065.1	Microcella daejeonensis	2994971	MMS21-STM26	Complete Genome	haploid	1
GCF_012530535.1	Microcella flavibacter	1804990	WY83	Complete Genome	haploid	1
GCF_024362325.1	Microcella humidisoli	2963406	MMS21-STM10	Complete Genome	haploid	1
GCF_013414345.1	Microcella indica	2750620	CTD02-10-2	Complete Genome	haploid	1
GCF_019890915.1	Micrococcus luteus	1270	CW.Ay	Complete Genome	haploid	2
GCF_003071525.2	Micrococcus luteus	1270	SGAir0127	Complete Genome	haploid	2
GCF_003691675.1	Micrococcus luteus	1270	SA211	Complete Genome	haploid	1
GCF_004117015.1	Micrococcus luteus	1270	SB1254	Complete Genome	haploid	1
GCF_006094415.1	Micrococcus luteus	1270	ATCC 4698	Complete Genome	haploid	1
GCF_009730415.1	Micrococcus luteus	1270	FDAARGOS_677	Complete Genome	haploid	1
GCF_009769055.1	Micrococcus luteus	1270	NCCP 16831	Complete Genome	haploid	1
GCF_009769145.2	Micrococcus luteus	1270	NCCP 15687	Complete Genome	haploid	1
GCF_009873315.1	Micrococcus luteus	1270	10240	Complete Genome	haploid	1
GCF_013426035.1	Micrococcus luteus	1270	R17	Complete Genome	haploid	1
GCF_014217235.1	Micrococcus luteus	1270	V017	Complete Genome	haploid	1
GCF_017840535.1	Micrococcus luteus	1270	MT1691313	Complete Genome	haploid	1
GCF_020217385.1	Micrococcus luteus	1270	anQ-m1	Complete Genome	haploid	1
GCF_024362225.1	Micrococcus luteus	1270	DNA1	Complete Genome	haploid	1
GCF_024397455.1	Micrococcus luteus	1270	ML	Complete Genome	haploid	2
GCF_000023205.1	Micrococcus luteus NCTC 2665	465515	NCTC 2665 (Fleming 2665)	Complete Genome	haploid	1
GCF_900475555.1	Micrococcus luteus NCTC 2665	465515	NCTC 2665	Complete Genome	haploid	1
GCF_002871575.2	Micrococcus lylae	1273	UMB0955	Complete Genome	haploid	1
GCF_020097155.1	Micrococcus porci	2856555	KD337-16	Complete Genome	haploid	1
GCF_039519235.1	Micrococcus sp. 2A	3142261	2A	Complete Genome	haploid	1
GCF_035609305.1	Micrococcus sp. HOU01	3101753	HOU01	Complete Genome	haploid	1
GCF_002008305.4	Micrococcus sp. KBS0714	1179670	KBS0714	Complete Genome	haploid	1
GCF_033107565.1	Micrococcus terreus	574650	UMB0712	Complete Genome	haploid	1
GCF_023573625.1	Micrococcus yunnanensis	566027	TT9	Complete Genome	haploid	1
GCF_030028355.1	Micrococcus yunnanensis	566027	TJPT4	Complete Genome	haploid	1
GCF_019704275.1	Microcystis aeruginosa	1126	missing	Complete Genome	haploid	3
GCF_038396575.1	Microcystis aeruginosa 1339	3113711	1339	Complete Genome	haploid	1
GCF_021172085.1	Microcystis aeruginosa FACHB-905 = DIANCHI905	267865	DIANCHI905	Complete Genome	haploid	1
GCF_009792235.1	Microcystis aeruginosa FD4	2686288	FD4	Complete Genome	haploid	2
GCF_001704955.2	Microcystis aeruginosa NIES-2481	1698524	NIES-2481	Complete Genome	haploid	2
GCF_000981785.2	Microcystis aeruginosa NIES-2549	1641812	NIES-2549	Complete Genome	haploid	2
GCF_010196425.1	Microcystis aeruginosa NIES-298	449468	NIES-298	Complete Genome	haploid	2
GCF_000010625.1	Microcystis aeruginosa NIES-843	449447	NIES-843	Complete Genome	haploid	1
GCF_031754835.1	Microcystis aeruginosa NRERC-214	2528657	NRERC-214	Complete Genome	haploid	1
GCF_030553035.1	Microcystis aeruginosa PCC 7806	267872	PCC 7806	Complete Genome	haploid	1
GCF_002095975.1	Microcystis aeruginosa PCC 7806SL	1903187	PCC 7806SL	Complete Genome	haploid	1
GCF_026222535.1	Microcystis aeruginosa str. Chao 1910	2945101	Chao 1910	Complete Genome	haploid	1
GCF_001264245.1	Microcystis panniformis FACHB-1757	1638788	FACHB-1757	Complete Genome	haploid	1
GCF_003019735.1	Microcystis sp. MC19	1967666	MC19	Complete Genome	haploid	1
GCF_003945305.1	Microcystis viridis NIES-102	213615	NIES-102	Complete Genome	haploid	1
GCF_007362775.1	Microlunatus elymi	2596828	KUDC0627	Complete Genome	haploid	1
GCF_000270245.1	Microlunatus phosphovorus NM-1	1032480	NM-1	Complete Genome	haploid	1
GCF_009707365.1	Microlunatus sp. Gsoil 973	2672569	Gsoil 973	Complete Genome	haploid	1
GCF_003351365.1	Micromonospora aurantiaca	47850	110B(2018)	Complete Genome	haploid	1
GCF_020995455.1	Micromonospora aurantiaca	47850	G9	Complete Genome	haploid	1
GCF_036013875.1	Micromonospora aurantiaca	47850	NBC_00468	Complete Genome	haploid	1
GCF_000145235.1	Micromonospora aurantiaca ATCC 27029	644283	ATCC 27029	Complete Genome	haploid	1
GCF_013389765.1	Micromonospora carbonacea	47853	aurantiaca	Complete Genome	haploid	1
GCF_028993575.1	Micromonospora cathayae	3028804	HUAS 3	Complete Genome	haploid	1
GCF_028768405.1	Micromonospora chalcea	1874	1K05785M01	Complete Genome	haploid	1
GCF_014764405.1	Micromonospora craniellae	2294034	LHW63014	Complete Genome	haploid	1
GCF_018326245.1	Micromonospora endophytica	515350	NBRC 109090	Complete Genome	haploid	1
GCF_013694245.2	Micromonospora ferruginea	2749844	28ISP2-46	Complete Genome	haploid	1
GCF_036184225.1	Micromonospora globbae	1894969	NBC_00256	Complete Genome	haploid	1
GCF_032108445.1	Micromonospora halotolerans	709879	DSM 45598	Complete Genome	haploid	1
GCF_035981415.1	Micromonospora maris	1003110	NBC_01290	Complete Genome	haploid	1
GCF_000204155.1	Micromonospora maris AB-18-032	263358	AB-18-032	Complete Genome	haploid	2
GCF_035917375.1	Micromonospora peucetia	47871	NBC 01809	Complete Genome	haploid	1
GCF_030736795.1	Micromonospora profundi	1420889	TRM95458	Complete Genome	haploid	1
GCF_036227385.1	Micromonospora rifamycinica	291594	NBC_01461	Complete Genome	haploid	1
GCF_014680085.1	Micromonospora sagamiensis	47875	JCM 3310	Complete Genome	haploid	1
GCF_003408515.1	Micromonospora sp. B006	2201999	B006	Complete Genome	haploid	1
GCF_040499845.1	Micromonospora sp. CCTCC AA 2012012	3111921	CCTCC AA 2012012	Complete Genome	haploid	1
GCF_039679095.1	Micromonospora sp. DPT	3142975	DPT	Complete Genome	haploid	1
GCF_038246755.1	Micromonospora sp. FIMYZ51	3051832	FIMYZ51	Complete Genome	haploid	1
GCF_007833915.1	Micromonospora sp. HM134	2583243	HM134	Complete Genome	haploid	1
GCF_030518815.1	Micromonospora sp. HUAS LYJ1	3061626	HUAS LYJ1	Complete Genome	haploid	1
GCF_040215685.1	Micromonospora sp. HUAS YX12	3156396	HUAS YX12	Complete Genome	haploid	1
GCF_000177655.2	Micromonospora sp. L5	648999	L5	Complete Genome	haploid	1
GCF_028475105.1	Micromonospora sp. LH3U1	3018339	LH3U1	Complete Genome	haploid	1
GCF_036136635.1	Micromonospora sp. NBC_00330	2903585	NBC_00330	Complete Genome	haploid	1
GCF_036059255.1	Micromonospora sp. NBC_00389	2903586	NBC_00389	Complete Genome	haploid	1
GCF_036017915.1	Micromonospora sp. NBC_00421	2975976	NBC_00421	Complete Genome	haploid	1
GCF_036347035.1	Micromonospora sp. NBC_00821	2975977	NBC_00821	Complete Genome	haploid	2
GCF_036250065.1	Micromonospora sp. NBC_01699	2975984	NBC_01699	Complete Genome	haploid	1
GCF_035920385.1	Micromonospora sp. NBC_01739	2975985	NBC_01739	Complete Genome	haploid	1
GCF_035920365.1	Micromonospora sp. NBC_01740	2975986	NBC_01740	Complete Genome	haploid	1
GCF_035917455.1	Micromonospora sp. NBC_01796	2975987	NBC_01796	Complete Genome	haploid	1
GCF_035917335.1	Micromonospora sp. NBC_01813	2975988	NBC_01813	Complete Genome	haploid	1
GCF_030518795.1	Micromonospora sp. NBRC 110009	3061627	NBRC 110009	Complete Genome	haploid	2
GCF_009671205.1	Micromonospora terminaliae	1914461	DSM 101760	Complete Genome	haploid	2
